"","diff","lwr","upr","p adj"
"New Orleans Saints-Cincinnati Bengals",41.7619047619052,-77.696492146992,161.220301670802,0.999991048461146
"New York Giants-Cincinnati Bengals",-1.66666666666629,-121.125063575563,117.791730242231,1
"New York Jets-Cincinnati Bengals",-22.0952380952372,-141.553635004134,97.36315881366,1
"Philadelphia Eagles-Cincinnati Bengals",34.0476190476195,-85.4107778612776,153.506015956517,0.999999926907479
"Pittsburgh Steelers-Cincinnati Bengals",6.33333333333377,-113.125063575563,125.791730242231,1
"San Francisco 49ers-Cincinnati Bengals",31.8095238095243,-87.6488730993729,151.267920718421,0.999999986821841
"Seattle Seahawks-Cincinnati Bengals",21.4285714285718,-98.0298254803253,140.886968337469,1
"Tampa Bay Buccaneers-Cincinnati Bengals",18.7619047619052,-100.696492146992,138.220301670802,1
"Tennessee Titans-Cincinnati Bengals",30.8095238095243,-88.6488730993729,150.267920718421,0.999999994202815
"Washington Football Team-Cincinnati Bengals",12.7142857142861,-106.744111194611,132.172682623183,1
"Dallas Cowboys-Cleveland Browns",33.0952380952386,-86.3631588136585,152.553635004136,0.999999964021909
"Denver Broncos-Cleveland Browns",46.0000000000011,-73.458396908896,165.458396908898,0.99992961967381
"Detroit Lions-Cleveland Browns",49.9523809523814,-69.5060159565157,169.410777861279,0.999641081468287
"Green Bay Packers-Cleveland Browns",19.714285714286,-99.7441111946111,139.172682623183,1
"Houston Texans-Cleveland Browns",23.7142857142862,-100.621955883704,148.050527312277,0.999999999998564
"Indianapolis Colts-Cleveland Browns",-61.1904761904764,-180.648873099374,58.2679207184208,0.989040008714397
"Jacksonville Jaguars-Cleveland Browns",-22.2380952380952,-141.696492146992,97.2203016708019,0.999999999999432
"Kansas City Chiefs-Cleveland Browns",6.04761904761949,-113.410777861278,125.506015956517,1
"Las Vegas Raiders-Cleveland Browns",96.4761904761912,-22.9822064327059,215.934587385088,0.364792710073372
"Los Angeles Chargers-Cleveland Browns",17.7619047619052,-101.696492146992,137.220301670802,1
"Los Angeles Rams-Cleveland Browns",11.3333333333338,-108.125063575563,130.791730242231,1
"Miami Dolphins-Cleveland Browns",-14.0952380952372,-133.553635004134,105.36315881366,1
"Minnesota Vikings-Cleveland Browns",11.619047619048,-107.839349289849,131.077444527945,1
"New England Patriots-Cleveland Browns",11.0000000000003,-108.458396908897,130.458396908897,1
"New Orleans Saints-Cleveland Browns",47.9047619047622,-71.5536350041349,167.363158813659,0.999840567686237
"New York Giants-Cleveland Browns",4.47619047619077,-114.982206432706,123.934587385088,1
"New York Jets-Cleveland Browns",-15.9523809523801,-135.410777861277,103.506015956517,1
"Philadelphia Eagles-Cleveland Browns",40.1904761904765,-79.2679207184206,159.648873099374,0.999996209590728
"Pittsburgh Steelers-Cleveland Browns",12.4761904761908,-106.982206432706,131.934587385088,1
"San Francisco 49ers-Cleveland Browns",37.9523809523813,-81.5060159565158,157.410777861278,0.999998990886859
"Seattle Seahawks-Cleveland Browns",27.5714285714289,-91.8869683374682,147.029825480326,0.999999999689625
"Tampa Bay Buccaneers-Cleveland Browns",24.9047619047623,-94.5536350041349,144.363158813659,0.999999999980625
"Tennessee Titans-Cleveland Browns",36.9523809523813,-82.5060159565158,156.410777861278,0.999999463618238
"Washington Football Team-Cleveland Browns",18.8571428571432,-100.601254051754,138.31553976604,1
"Denver Broncos-Dallas Cowboys",12.9047619047625,-106.553635004135,132.36315881366,1
"Detroit Lions-Dallas Cowboys",16.8571428571428,-102.601254051754,136.31553976604,1
"Green Bay Packers-Dallas Cowboys",-13.3809523809526,-132.83934928985,106.077444527945,1
"Houston Texans-Dallas Cowboys",-9.38095238095241,-133.717193978943,114.955289217038,1
"Indianapolis Colts-Dallas Cowboys",-94.285714285715,-213.744111194612,25.1726826231822,0.41755481445744
"Jacksonville Jaguars-Dallas Cowboys",-55.3333333333338,-174.791730242231,64.1250635755633,0.997749245939039
"Kansas City Chiefs-Dallas Cowboys",-27.0476190476191,-146.506015956516,92.410777861278,0.999999999814735
"Las Vegas Raiders-Dallas Cowboys",63.3809523809526,-56.0774445279445,182.83934928985,0.981975563330453
"Los Angeles Chargers-Dallas Cowboys",-15.3333333333334,-134.791730242231,104.125063575564,1
"Los Angeles Rams-Dallas Cowboys",-21.7619047619048,-141.220301670802,97.6964921469923,1
"Miami Dolphins-Dallas Cowboys",-47.1904761904758,-166.648873099373,72.2679207184213,0.999881804878178
"Minnesota Vikings-Dallas Cowboys",-21.4761904761905,-140.934587385088,97.9822064327066,1
"New England Patriots-Dallas Cowboys",-22.0952380952383,-141.553635004135,97.3631588136588,1
"New Orleans Saints-Dallas Cowboys",14.8095238095236,-104.648873099374,134.267920718421,1
"New York Giants-Dallas Cowboys",-28.6190476190478,-148.077444527945,90.8393492898493,0.999999999160591
"New York Jets-Dallas Cowboys",-49.0476190476187,-168.506015956516,70.4107778612784,0.99974714168715
"Philadelphia Eagles-Dallas Cowboys",7.09523809523796,-112.363158813659,126.553635004135,1
"Pittsburgh Steelers-Dallas Cowboys",-20.6190476190478,-140.077444527945,98.8393492898494,1
"San Francisco 49ers-Dallas Cowboys",4.85714285714272,-114.601254051754,124.31553976604,1
"Seattle Seahawks-Dallas Cowboys",-5.52380952380969,-124.982206432707,113.934587385087,1
"Tampa Bay Buccaneers-Dallas Cowboys",-8.19047619047632,-127.648873099373,111.267920718421,1
"Tennessee Titans-Dallas Cowboys",3.85714285714272,-115.601254051754,123.31553976604,1
"Washington Football Team-Dallas Cowboys",-14.2380952380954,-133.696492146993,105.220301670802,1
"Detroit Lions-Denver Broncos",3.95238095238034,-115.506015956517,123.410777861277,1
"Green Bay Packers-Denver Broncos",-26.2857142857151,-145.744111194612,93.1726826231821,0.999999999914567
"Houston Texans-Denver Broncos",-22.2857142857149,-146.621955883706,102.050527312276,1
"Indianapolis Colts-Denver Broncos",-107.190476190477,-226.648873099375,12.2679207184197,0.163234339309568
"Jacksonville Jaguars-Denver Broncos",-68.2380952380963,-187.696492146993,51.2203016708008,0.95359703943778
"Kansas City Chiefs-Denver Broncos",-39.9523809523816,-159.410777861279,79.5060159565155,0.999996688523068
"Las Vegas Raiders-Denver Broncos",50.4761904761901,-68.982206432707,169.934587385087,0.999562938204958
"Los Angeles Chargers-Denver Broncos",-28.2380952380959,-147.696492146993,91.2203016708012,0.999999999412142
"Los Angeles Rams-Denver Broncos",-34.6666666666673,-154.125063575564,84.7917302422298,0.999999885883166
"Miami Dolphins-Denver Broncos",-60.0952380952383,-179.553635004135,59.3631588136588,0.991607788517755
"Minnesota Vikings-Denver Broncos",-34.380952380953,-153.83934928985,85.0774445279441,0.999999906956542
"New England Patriots-Denver Broncos",-35.0000000000008,-154.458396908898,84.4583969088963,0.999999855641703
"New Orleans Saints-Denver Broncos",1.90476190476113,-117.553635004136,121.363158813658,1
"New York Giants-Denver Broncos",-41.5238095238103,-160.982206432707,77.9345873850868,0.999992113676752
"New York Jets-Denver Broncos",-61.9523809523812,-181.410777861278,57.5060159565159,0.986899193607186
"Philadelphia Eagles-Denver Broncos",-5.80952380952453,-125.267920718422,113.648873099373,1
"Pittsburgh Steelers-Denver Broncos",-33.5238095238103,-152.982206432707,85.9345873850869,0.999999950326852
"San Francisco 49ers-Denver Broncos",-8.04761904761978,-127.506015956517,111.410777861277,1
"Seattle Seahawks-Denver Broncos",-18.4285714285722,-137.886968337469,101.029825480325,1
"Tampa Bay Buccaneers-Denver Broncos",-21.0952380952388,-140.553635004136,98.3631588136583,1
"Tennessee Titans-Denver Broncos",-9.04761904761978,-128.506015956517,110.410777861277,1
"Washington Football Team-Denver Broncos",-27.1428571428579,-146.601254051755,92.3155397660392,0.999999999796318
"Green Bay Packers-Detroit Lions",-30.2380952380954,-149.696492146993,89.2203016708017,0.999999996433766
"Houston Texans-Detroit Lions",-26.2380952380952,-150.574336836086,98.0981463598954,0.999999999972861
"Indianapolis Colts-Detroit Lions",-111.142857142858,-230.601254051755,8.31553976603934,0.114721933033986
"Jacksonville Jaguars-Detroit Lions",-72.1904761904767,-191.648873099374,47.2679207184205,0.912975568268163
"Kansas City Chiefs-Detroit Lions",-43.9047619047619,-163.363158813659,75.5536350041352,0.999973460523787
"Las Vegas Raiders-Detroit Lions",46.5238095238098,-72.9345873850873,165.982206432707,0.999911314467246
"Los Angeles Chargers-Detroit Lions",-32.1904761904763,-151.648873099373,87.2679207184209,0.999999982149618
"Los Angeles Rams-Detroit Lions",-38.6190476190476,-158.077444527945,80.8393492898495,0.999998483972417
"Miami Dolphins-Detroit Lions",-64.0476190476186,-183.506015956516,55.4107778612785,0.979221103070599
"Minnesota Vikings-Detroit Lions",-38.3333333333334,-157.79173024223,81.1250635755638,0.999998724898341
"New England Patriots-Detroit Lions",-38.9523809523811,-158.410777861278,80.506015956516,0.999998149514246
"New Orleans Saints-Detroit Lions",-2.04761904761921,-121.506015956516,117.410777861278,1
"New York Giants-Detroit Lions",-45.4761904761907,-164.934587385088,73.9822064327065,0.999944422214043
"New York Jets-Detroit Lions",-65.9047619047615,-185.363158813659,53.5536350041356,0.969774406040422
"Philadelphia Eagles-Detroit Lions",-9.76190476190487,-129.220301670802,109.696492146992,1
"Pittsburgh Steelers-Detroit Lions",-37.4761904761906,-156.934587385088,81.9822064327065,0.999999250690231
"San Francisco 49ers-Detroit Lions",-12.0000000000001,-131.458396908897,107.458396908897,1
"Seattle Seahawks-Detroit Lions",-22.3809523809525,-141.83934928985,97.0774445279446,0.99999999999923
"Tampa Bay Buccaneers-Detroit Lions",-25.0476190476192,-144.506015956516,94.410777861278,0.999999999977279
